CountryCode,country,population_density,median_age,gdp_per_capita,hospital_beds_per_thousand,aged_65_older,age65
ABW,Aruba,584.8,41.2,35973.78,2.45,13.08,13.08
AFG,Afghanistan,54.42,18.6,1803.99,0.5,2.58,2.58
AGO,Angola,23.89,16.8,5819.5,2.45,2.4,2.4
ALB,Albania,104.87,38.0,11803.43,2.89,13.19,13.19
ARE,United Arab Emirates,112.44,34.0,67293.48,1.2,1.14,1.14
ARG,Argentina,16.18,31.9,18933.91,5.0,11.2,11.2
ARM,Armenia,102.93,35.7,8787.58,4.2,11.23,11.23
ATG,Antigua and Barbuda,231.84,32.1,21490.94,3.8,6.93,6.93
AUS,Australia,3.2,37.9,44648.71,3.84,15.5,15.5
AUT,Austria,106.75,44.4,45436.69,7.37,19.2,19.2
AZE,Azerbaijan,119.31,32.4,15847.42,4.7,6.02,6.02
BDI,Burundi,423.06,17.5,702.22,0.8,2.56,2.56
BEL,Belgium,375.56,41.8,42658.58,5.64,18.57,18.57
BEN,Benin,99.11,18.8,2064.24,0.5,3.24,3.24
BFA,Burkina Faso,70.15,17.6,1703.1,0.4,2.41,2.41
BGD,Bangladesh,1265.04,27.5,3523.98,0.8,5.1,5.1
BGR,Bulgaria,65.18,44.7,18563.31,7.45,20.8,20.8
BHR,Bahrain,1935.91,32.4,43290.7,2.0,2.37,2.37
BHS,Bahamas,39.5,34.3,27717.85,2.9,9.0,9.0
BIH,Bosnia and Herzegovina,68.5,42.5,11713.9,3.5,16.57,16.57
BLR,Belarus,46.86,40.3,17167.97,11.0,14.8,14.8
BLZ,Belize,16.43,25.0,7824.36,1.3,3.85,3.85
BMU,Bermuda,1308.82,29.6,50669.32,2.45,,
BOL,Bolivia,10.2,25.4,6885.83,1.1,6.7,6.7
BRA,Brazil,25.04,33.5,14103.45,2.2,8.55,8.55
BRB,Barbados,664.46,39.8,16978.07,5.8,14.95,14.95
BRN,Brunei,81.35,32.4,71809.25,2.7,4.59,4.59
BTN,Bhutan,21.19,28.6,8708.6,1.7,4.88,4.88
BWA,Botswana,4.04,25.8,15807.37,1.8,3.94,3.94
CAF,Central African Republic,7.48,18.3,661.24,1.0,3.66,3.66
CAN,Canada,4.04,41.4,44017.59,2.5,16.98,16.98
CHE,Switzerland,214.24,43.1,57410.17,4.53,18.44,18.44
CHL,Chile,24.28,35.4,22767.04,2.11,11.09,11.09
CHN,China,147.67,38.7,15308.71,4.34,10.64,10.64
CIV,Cote d'Ivoire,76.4,18.7,3601.01,2.45,2.93,2.93
CMR,Cameroon,50.88,18.8,3364.93,1.3,3.16,3.16
COD,Democratic Republic of Congo,35.88,17.0,808.13,2.45,3.02,3.02
COG,Congo,15.4,19.0,4881.41,2.45,3.4,3.4
COL,Colombia,44.22,32.2,13254.95,1.71,7.65,7.65
COM,Comoros,437.35,20.4,1413.89,2.2,2.96,2.96
CPV,Cape Verde,135.58,25.7,6222.55,2.1,4.46,4.46
CRI,Costa Rica,96.08,33.6,15525.0,1.13,9.47,9.47
CUB,Cuba,110.41,43.1,12595.259999999998,5.2,14.74,14.74
CUW,Curacao,362.64,41.7,12595.259999999998,2.45,16.37,16.37
CYM,Cayman Islands,256.5,29.6,49903.03,2.45,,
CYP,Cyprus,127.66,37.3,32415.13,3.4,13.42,13.42
CZE,Czechia,137.18,43.3,32605.91,6.63,19.03,19.03
DEU,Germany,237.02,46.6,45229.24,8.0,21.45,21.45
DJI,Djibouti,41.28,25.4,2705.41,1.4,4.21,4.21
DMA,Dominica,98.57,29.6,9673.37,3.8,,
DNK,Denmark,136.52,42.3,46682.52,2.5,19.68,19.68
DOM,Dominican Republic,222.87,27.6,14600.86,1.6,6.98,6.98
DZA,Algeria,17.35,29.1,13913.84,1.9,6.21,6.21
ECU,Ecuador,66.94,28.1,10581.94,1.5,7.1,7.1
EGY,Egypt,98.0,25.3,10550.21,1.6,5.16,5.16
ERI,Eritrea,44.3,19.3,1510.46,0.7,3.61,3.61
ESP,Spain,93.1,45.5,34272.36,2.97,19.44,19.44
EST,Estonia,31.03,42.7,29481.25,4.69,19.45,19.45
ETH,Ethiopia,104.96,19.8,1729.93,0.3,3.53,3.53
FIN,Finland,18.14,42.8,40585.72,3.28,21.23,21.23
FJI,Fiji,49.56,28.6,8702.98,2.3,6.22,6.22
FRA,France,122.58,42.0,38605.67,5.98,19.72,19.72
FSM,Micronesia (country),150.78,23.0,3299.46,2.45,4.81,4.81
GAB,Gabon,7.86,23.1,16562.41,6.3,4.45,4.45
GBR,United Kingdom,272.9,40.8,39753.24,2.54,18.52,18.52
GEO,Georgia,65.03,38.7,9745.08,2.6,14.86,14.86
GHA,Ghana,126.72,21.1,4227.63,0.9,3.38,3.38
GIN,Guinea,51.76,19.0,1998.93,0.3,3.14,3.14
GMB,Gambia,207.57,17.5,1561.77,1.1,2.34,2.34
GNB,Guinea-Bissau,66.19,19.4,1548.68,2.45,3.0,3.0
GNQ,Equatorial Guinea,45.19,22.4,22604.87,2.1,2.85,2.85
GRC,Greece,83.48,45.3,24574.38,4.21,20.4,20.4
GRD,Grenada,317.13,29.4,13593.88,3.7,7.3,7.3
GTM,Guatemala,157.83,22.9,7423.81,0.6,4.69,4.69
GUM,Guam,304.13,31.4,12595.259999999998,2.45,9.55,9.55
GUY,Guyana,3.95,26.3,7435.05,1.6,5.3,5.3
HKG,Hong Kong,7039.71,44.8,56054.92,2.45,16.3,16.3
HND,Honduras,82.8,24.9,4541.8,0.7,4.65,4.65
HRV,Croatia,73.73,44.0,22669.8,5.54,19.72,19.72
HTI,Haiti,398.45,24.3,1653.17,0.7,4.8,4.8
HUN,Hungary,108.04,43.4,26777.56,7.02,18.58,18.58
IDN,Indonesia,145.72,29.3,11188.74,1.04,5.32,5.32
IND,India,450.42,28.2,6426.67,0.53,5.99,5.99
IRL,Ireland,69.87,38.7,67335.29,2.96,13.93,13.93
IRN,Iran,49.83,32.4,19082.62,1.5,5.44,5.44
IRQ,Iraq,88.12,20.0,15663.99,1.4,3.19,3.19
ISL,Iceland,3.4,37.3,46482.96,2.91,14.43,14.43
ISR,Israel,402.61,30.6,33132.32,2.99,11.73,11.73
ITA,Italy,205.86,47.9,35220.08,3.18,23.02,23.02
JAM,Jamaica,266.88,31.4,8193.57,1.7,9.68,9.68
JOR,Jordan,109.28,23.2,8337.49,1.4,3.81,3.81
JPN,Japan,347.78,48.2,39002.22,13.05,27.05,27.05
KAZ,Kazakhstan,6.68,30.6,24055.59,6.7,6.99,6.99
KEN,Kenya,87.32,20.0,2993.03,1.4,2.69,2.69
KGZ,Kyrgyzstan,32.33,26.3,3393.47,4.5,4.49,4.49
KHM,Cambodia,90.67,25.6,3645.07,0.8,4.41,4.41
KIR,Kiribati,143.7,23.2,1981.13,1.9,3.9,3.9
KNA,Saint Kitts and Nevis,212.86,29.6,24654.38,2.3,,
KOR,South Korea,527.97,43.4,35938.37,12.27,13.91,13.91
KWT,Kuwait,232.13,33.7,65530.54,2.0,2.35,2.35
